s,eta,winding,error
0.0,0.0,2,0.0
0.0,0.015625,2,0.0
0.0,0.03125,2,0.0
0.0,0.046875,2,0.0
0.0,0.0625,2,0.0
0.0,0.078125,2,0.0
0.0,0.09375,2,0.0
0.0,0.109375,2,0.0
0.0,0.125,2,0.0
0.0,0.140625,2,0.0
0.0,0.15625,2,0.0
0.0,0.171875,2,0.0
0.0,0.1875,2,0.0
0.0,0.203125,2,0.0
0.0,0.21875,2,0.0
0.0,0.234375,2,0.0
0.0,0.25,2,0.0
0.0,0.265625,2,-0.0
0.0,0.28125,2,-0.0
0.0,0.296875,2,-0.0
0.0,0.3125,2,-0.0
0.0,0.328125,2,-0.0
0.0,0.34375,2,-0.0
0.0,0.359375,2,-0.0
0.0,0.375,2,-0.0
0.0,0.390625,2,-0.0
0.0,0.40625,2,-0.0
0.0,0.421875,2,-0.0
0.0,0.4375,2,-0.0
0.0,0.453125,2,-0.0
0.0,0.46875,2,-0.0
0.0,0.484375,2,-0.0
0.0,0.5,2,-0.0
0.0,0.515625,2,-0.0
0.0,0.53125,2,-0.0
0.0,0.546875,2,-0.0
0.0,0.5625,2,-0.0
0.0,0.578125,2,-0.0
0.0,0.59375,2,-0.0
0.0,0.609375,2,-0.0
0.0,0.625,2,-0.0
0.0,0.640625,2,-0.0
0.0,0.65625,2,-0.0
0.0,0.671875,2,-0.0
0.0,0.6875,2,-0.0
0.0,0.703125,2,-0.0
0.0,0.71875,2,-0.0
0.0,0.734375,2,-0.0
0.0,0.75,2,-0.0
0.0,0.765625,2,0.0
0.0,0.78125,2,0.0
0.0,0.796875,2,0.0
0.0,0.8125,2,0.0
0.0,0.828125,2,0.0
0.0,0.84375,2,0.0
0.0,0.859375,2,0.0
0.0,0.875,2,0.0
0.0,0.890625,2,0.0
0.0,0.90625,2,0.0
0.0,0.921875,2,0.0
0.0,0.9375,2,0.0
0.0,0.953125,2,0.0
0.0,0.96875,2,0.0
0.0,0.984375,2,0.0
0.0,1.0,2,0.0
0.01,0.0,2,0.0
0.01,0.015625,2,0.0
0.01,0.03125,2,0.0
0.01,0.046875,2,0.0
0.01,0.0625,2,0.0
0.01,0.078125,2,0.0
0.01,0.09375,2,0.0
0.01,0.109375,2,0.0
0.01,0.125,2,0.0
0.01,0.140625,2,0.0
0.01,0.15625,2,0.0
0.01,0.171875,2,0.0
0.01,0.1875,2,0.0
0.01,0.203125,2,0.0
0.01,0.21875,2,0.0
0.01,0.234375,2,-0.0
0.01,0.25,2,-0.0
0.01,0.265625,2,-0.0
0.01,0.28125,2,-0.0
0.01,0.296875,2,-0.0
0.01,0.3125,2,-0.0
0.01,0.328125,2,-0.0
0.01,0.34375,2,-0.0
0.01,0.359375,2,-0.0
