dphi,mag,elo,ehi
4.799999999999999822e-01,2.994968481144186234e-01,1.841128545590435261e-01,1.045951449152361379e-01
6.199999999999999956e-01,1.211123038926040507e-01,6.999397891381789472e-02,2.491587314351489946e-02
8.000000000000000444e-01,2.237969391210462011e-02,1.515598184794497705e-02,2.668929488053299603e-03
1.000000000000000000e+00,-1.386792747516191540e-02,2.626112955143942995e-03,7.982931976740700875e-06
